read_name_str,read_lengths,mapping_qualities,avg_base_qualities,num_overlap_aligned_bases,fraction_overlap_aligned,num_nones,fraction_nones,num_inserts,fraction_inserts,num_mismatches,fraction_mismatches,num_ambiguous
66e0b8f0-e20d-4fe8-b8fb-3755683e5167,2405,60,15.675259875259876,2086,0.3209230769230769,82,0.0340956340956341,122,0.05072765072765073,81,0.03367983367983368,0
26691903-e686-4670-a760-ad70b0f87b42,6790,60,24.387481590574374,6404,0.9852307692307692,102,0.015022091310751105,110,0.016200294550810016,48,0.007069219440353461,0
c758517d-05c4-4357-8457-6526c65c72a0,6766,60,26.344073307715046,6436,0.9901538461538462,64,0.009459060005911913,50,0.0073898906296186815,30,0.004433934377771209,0
035da8dd-fe81-463d-ab71-f3868112d62a,6793,60,25.25644045340792,6425,0.9884615384615385,76,0.011187987634329457,89,0.013101722361254233,45,0.006624466362431915,0
ec0296e6-f5d3-4209-8ef5-c677a5a240aa,6031,60,10.790250373072459,5506,0.8470769230769231,1038,0.17211076106781628,309,0.05123528436411872,441,0.07312220195655779,0
a177f8ff-555a-47a7-98b3-235c69dcc230,6787,60,19.49152792102549,6296,0.9686153846153847,209,0.03079416531604538,212,0.03123618682775895,155,0.022837778105201118,0
960b12aa-160c-4d90-abd7-9a6d03a6a225,6752,60,25.25162914691943,6411,0.9863076923076923,89,0.013181279620853081,61,0.00903436018957346,46,0.006812796208530806,0
158c6df5-c59b-4d5b-ba66-9f7333f60628,6791,60,25.070240023560594,6398,0.9843076923076923,104,0.01531438668826388,115,0.016934177587984097,54,0.007951700780444706,0
81d9c9a4-e181-4d1b-a08e-b079b8c2d493,6732,60,23.599821746880572,6355,0.9776923076923076,152,0.0225787284610814,104,0.015448603683897801,63,0.009358288770053475,0
196a1a95-9ebc-406d-a20d-c370d3d00dd8,6690,60,14.644693572496264,6136,0.944,387,0.05784753363228699,298,0.044544095665171896,267,0.03991031390134529,0
2d177852-83a1-4015-bd0e-15c09376d3e1,6834,60,23.836406204272755,6401,0.9847692307692307,103,0.015071700321919812,179,0.026192566578870355,67,0.00980392156862745,0
c6ce1a02-47c1-419a-8689-9b25c7b6597b,6763,60,25.762235694218543,6441,0.9909230769230769,59,0.008723939080289813,57,0.008428212331805412,22,0.0032529942333284047,0
4571a190-f277-49cb-abed-83630bf1e7d7,4727,60,25.030463295959382,4471,0.6878461538461539,57,0.012058387983922149,55,0.011635286651152951,47,0.009942881320076159,0
cf3b0d9a-dbb4-4d70-99f3-a2da9be46bcc,6888,60,21.413037166085946,6331,0.974,180,0.02613240418118467,121,0.01756678281068525,113,0.01640534262485482,0
57b38588-021d-4039-bce7-6a1324d97628,6738,60,26.087414663104777,6430,0.9892307692307692,71,0.010537251409913921,47,0.006975363609379638,29,0.0043039477589789255,0
efa9e0e4-703e-4729-baa6-c006358484ed,5932,60,19.37474713418746,5568,0.8566153846153847,193,0.0325354012137559,168,0.028320971004720162,158,0.026635198921105867,0
21336473-111b-4310-84dc-500452649158,6603,60,16.55671664394972,6125,0.9423076923076923,389,0.05891261547781312,209,0.03165227926699985,185,0.028017567772224746,0
697a7a83-47dd-4e9e-b472-d668f05c4f37,6700,60,18.745970149253733,6263,0.9635384615384616,241,0.03597014925373134,169,0.025223880597014924,193,0.02880597014925373,0
ddbbdd14-6486-42aa-8b5e-87a5713d18fa,6664,60,12.456182472989196,6117,0.941076923076923,410,0.061524609843937574,299,0.04486794717887155,400,0.060024009603841535,0
c9200e4e-e9b2-4970-bcf1-c61600f3cead,443,60,21.334085778781038,237,0.03646153846153846,8,0.01805869074492099,12,0.02708803611738149,6,0.013544018058690745,0
aeae711b-9209-4a64-ba15-da27152587b9,6418,60,18.369897164225616,6022,0.9264615384615384,489,0.07619196011218449,135,0.021034590215020254,188,0.029292614521657837,0
30258949-6bba-40d0-a628-978b9f04ae14,6768,60,22.37958037825059,6352,0.9772307692307692,151,0.022310874704491727,149,0.022015366430260048,86,0.012706855791962174,0
e4c83f62-594c-41b5-937e-87290576382d,5913,60,9.861998985286656,5356,0.824,838,0.14172163030610518,402,0.06798579401319127,489,0.08269913749365804,0
9e90d97f-44fa-4527-abed-19c20dc38331,6707,60,16.761443268227225,6114,0.9406153846153846,398,0.05934098702847771,353,0.05263157894736842,347,0.05173699120322051,0
b9079216-a890-4d41-8854-491f1396f4eb,5966,60,11.800368756285618,5497,0.8456923076923077,1008,0.16895742541066042,379,0.0635266510224606,487,0.08162923231645994,0
9bb46077-cce0-4a0f-a76a-7835bc7f4f7d,6525,60,24.51065134099617,6383,0.982,75,0.011494252873563218,65,0.00996168582375479,47,0.007203065134099617,0
e0ce5db6-f16b-44d5-9f65-2afbb78f9c91,4689,60,12.785028790786948,4254,0.6544615384615384,444,0.09468969929622521,435,0.0927703134996801,292,0.06227340584346343,0
a18a8888-b8f5-4be5-bd58-504a07241f92,7700,40,6.144675324675324,756,0.1163076923076923,62,0.008051948051948052,6944,0.9018181818181819,77,0.01,0
