read_name_str,read_lengths,mapping_qualities,avg_base_qualities,mode_base_qualities,median_base_qualities,num_overlap_aligned_bases,fraction_overlap_aligned,num_nones,fraction_nones,num_inserts,fraction_inserts,num_mismatches,fraction_mismatches,num_ambiguous
75fdd01a-d47f-414e-bf08-0df5aeac9bef,6849,60,23.293765513213607,28,25.0,6417,0.9872307692307692,92,0.013432617900423419,78,0.011388523872098117,72,0.010512483574244415,0
e40e256e-5235-4908-a5f9-fa6c6b18fdb9,6911,60,24.630154825640282,29,27.0,6437,0.9903076923076923,68,0.009839386485313269,100,0.01446968600781363,40,0.0057878744031254524,0
f23fd7db-9f43-4c96-938e-9949dd0c4b7f,6796,60,25.095938787522073,29,27.0,6442,0.9910769230769231,60,0.008828722778104767,75,0.01103590347263096,30,0.0044143613890523835,0
084e895c-44c8-4efe-aefc-cd94e6069dac,6721,60,21.846005058771016,29,24.0,6336,0.9747692307692307,171,0.02544264246391906,136,0.0202350840648713,118,0.01755691117393245,0
c8abaa59-5fc2-4461-8c0a-7685a6282b23,6725,60,22.32817843866171,29,25.0,6368,0.9796923076923076,139,0.02066914498141264,96,0.014275092936802973,78,0.011598513011152417,0
bd577027-da9b-4a16-b507-274bb4e590d6,6770,60,24.271196454948303,28,26.0,6438,0.9904615384615385,63,0.00930576070901034,70,0.0103397341211226,36,0.005317577548005908,0
a9bab6cf-d2a2-4b52-985d-a2eddffbad95,3657,60,24.184030626196336,29,26.0,3399,0.5229230769230769,25,0.006836204539239814,55,0.015039649986327591,19,0.005195515449822259,0
37d87207-49ce-462d-84fb-30029076351e,6733,60,23.706668646962722,29,26.0,6379,0.9813846153846154,122,0.018119708896480024,86,0.012772909549977722,59,0.008762810040100995,0
a415c8a3-392b-4bf4-a8e5-c14f1d979834,6815,60,22.477769625825385,27,25.0,6408,0.9858461538461538,94,0.013793103448275862,127,0.01863536316947909,59,0.008657373440939104,0
9685e1d0-34bf-4c66-9692-56bd56e2d5c2,6792,60,22.99558303886926,29,25.0,6424,0.9883076923076923,79,0.01163133097762073,89,0.013103651354534746,56,0.008244994110718492,0
4b664aba-fd14-4211-b0d6-4a6b01caee99,6810,60,24.93641703377386,29,27.0,6437,0.9903076923076923,65,0.009544787077826725,93,0.013656387665198238,53,0.007782672540381791,0
a9fb359f-56ef-4f76-b687-24bf9abb9aa9,6752,60,21.784804502369667,29,25.0,6346,0.9763076923076923,155,0.02295616113744076,139,0.02058649289099526,135,0.019994075829383885,0
63d77674-e6fb-495e-aa69-6ead8862d4ce,6249,60,25.056329012642024,29,27.0,5971,0.9186153846153846,47,0.007521203392542807,75,0.01200192030724916,31,0.00496079372699632,0
8be7eb08-9b3c-46a3-b173-a6507ca54d70,6771,60,23.60508049032639,29,26.0,6399,0.9844615384615385,111,0.01639344262295082,100,0.014768867227883621,55,0.008122876975335992,0
3fab3364-b2c8-481f-9c94-d5591e433ab3,6793,60,24.75842779331665,28,27.0,6425,0.9884615384615385,77,0.011335197997939054,88,0.012954511997644634,36,0.005299573089945532,0
478e54d3-4d1f-4855-97f9-e64f80ba513c,6796,60,25.5448793407887,29,27.0,6462,0.9941538461538462,38,0.005591524426133019,66,0.009711595055915245,26,0.0038257798705120657,0
40ff4013-326d-4516-9f72-a767026f76a5,6821,60,25.46034305820261,28,27.0,6453,0.9927692307692307,47,0.006890485266090016,86,0.012608121976249817,35,0.005131212432194693,0
899f0747-75ac-411f-b8f1-bcaaa2d1d0d8,6792,60,23.973498233215548,29,26.0,6423,0.9881538461538462,85,0.01251472320376914,95,0.013987043580683157,45,0.0066254416961130744,0
52d4c4ef-9154-4bfe-8da7-3d61b67ec952,6786,60,23.96271735926908,30,26.0,6409,0.986,93,0.013704686118479222,97,0.014294134983790157,62,0.009136457412319481,0
4c1700f2-66d1-4f73-9770-ef4de0edfef6,6778,60,24.205370315727354,28,26.0,6429,0.9890769230769231,71,0.01047506639126586,85,0.01254057244024786,36,0.005311301268810859,0
9d291f6a-10d6-46e7-8448-5ce7a6524588,6822,60,24.265904426854295,28,26.0,6427,0.9887692307692307,73,0.01070067428906479,113,0.016564057461155086,53,0.007768982703019642,0
57784470-2520-4d4e-a625-a2b72022e732,6844,60,19.402104032729397,29,21.0,6249,0.9613846153846154,266,0.03886616014026885,148,0.02162478082992402,159,0.023232028053769727,0
29066a18-3b16-4812-a093-5bc2b523b086,6794,60,25.83014424492199,28,28.0,6442,0.9910769230769231,62,0.009125699146305564,74,0.010891963497203415,21,0.0030909626140712392,0
91acf433-ca95-404e-b6db-2f7f3645c2eb,6794,60,23.95775684427436,28,26.0,6424,0.9883076923076923,76,0.011186340889019724,88,0.012952605239917574,48,0.007065057403591404,0
171f1c4a-58d7-4694-b753-e9fdb7433d88,6798,60,22.197116799058545,29,25.0,6405,0.9853846153846154,103,0.015151515151515152,119,0.01750514857310974,72,0.01059135039717564,0
4c95a7db-3d72-4466-8298-af6fc2084811,6796,60,24.04252501471454,29,26.0,6418,0.9873846153846154,86,0.012654502648616834,100,0.014714537963507945,52,0.007651559741024131,0
0a67f3e3-7d2f-48ea-a7fc-339b0fb2bd9c,6800,60,23.123529411764707,29,25.0,6418,0.9873846153846154,87,0.012794117647058824,110,0.016176470588235296,62,0.009117647058823529,0
1fbf0f4e-0c5b-415b-b2bf-0b2445b6d3f2,6810,60,24.915271659324524,29,27.0,6444,0.9913846153846154,57,0.008370044052863436,86,0.01262848751835536,42,0.006167400881057269,0
