read_name_str,read_lengths,mapping_qualities,avg_base_qualities,num_overlap_aligned_bases,fraction_overlap_aligned,num_nones,fraction_nones,num_inserts,fraction_inserts,num_mismatches,fraction_mismatches,num_ambiguous
6c8d8207-d900-456c-8e20-f53be7fe9c17,6838,60,22.841912840011698,6389,0.9829230769230769,116,0.016964024568587307,73,0.010675636150921323,75,0.010968119333138345,0
87b77c7f-b1f5-45b5-829f-cc08c6a5313f,6877,60,21.487858077650138,6386,0.9824615384615385,117,0.017013232514177693,118,0.017158644757888614,91,0.013232514177693762,0
562bb8f6-c257-4f66-9ac6-8d402287060e,6865,60,22.18528769118718,6384,0.9821538461538462,120,0.01747997086671522,104,0.015149308084486526,81,0.011798980335032775,0
07cd4dcc-cec9-48d5-b9c2-9f9726268ed7,6649,60,15.50955030831704,6099,0.9383076923076923,442,0.06647616182884644,216,0.03248608813355392,286,0.043013987065724166,0
db24102c-dada-4a7c-8c0a-c3faa0b5196d,6850,60,19.175912408759125,6350,0.9769230769230769,159,0.023211678832116788,128,0.018686131386861315,140,0.020437956204379562,0
6e8c5ea8-580b-4fb5-b8fa-b5b1039c5fe8,6861,60,21.45022591458971,6414,0.9867692307692307,92,0.013409124034397318,88,0.012826118641597434,90,0.013117621337997376,0
e7b77988-e4b4-48bb-b42b-fbbbc4b2f9b6,6903,60,23.508184847167897,6423,0.9881538461538462,78,0.011299435028248588,100,0.014486455164421265,52,0.007532956685499058,0
5e4e14b2-c94e-4890-9015-8e882fc43b40,6754,60,19.52576251110453,6271,0.9647692307692308,236,0.034942256440627775,111,0.01643470535978679,125,0.018507551080840984,0
57dee68b-b812-41f1-8599-773c6d6f14b5,6856,60,23.37222870478413,6398,0.9843076923076923,106,0.015460910151691949,83,0.012106184364060676,68,0.009918319719953326,0
61cf5859-bd11-4fb4-8e04-036d840c4b34,6863,60,20.565933265335858,6358,0.9781538461538462,157,0.022876293166253826,141,0.02054495118752732,111,0.016173684977415125,0
4dda088d-9f01-4b88-88a9-cc98725f258a,7044,60,21.943072118114706,6376,0.9809230769230769,130,0.01845542305508234,113,0.016042021578648494,115,0.0163259511641113,0
66b7fed8-98c8-4050-8007-b48219743a4b,6960,60,23.883908045977012,6428,0.9889230769230769,76,0.010919540229885057,156,0.022413793103448276,51,0.007327586206896552,0
5037b40d-4cf4-48ef-8d71-f6e4450736bb,6687,60,10.171975474801854,5117,0.7872307692307692,515,0.07701510393300434,1306,0.19530432181845372,399,0.059668012561686856,0
42d50ee8-c2d3-4e2f-bc42-7b2b90a7cd6a,7053,60,21.266127888841627,6393,0.9835384615384616,115,0.01630511838933787,108,0.015312632922160783,84,0.011909825606125054,0
88cbd243-2c59-49aa-a9a2-80462c75bd96,6853,60,22.855683642200496,6400,0.9846153846153847,103,0.015029913906318401,77,0.011235955056179775,72,0.01050634758499927,0
93b37cb7-1f53-4fc2-83a0-2b496cb6a8d2,6729,60,16.684202704710952,6220,0.9569230769230769,296,0.043988705602615544,164,0.024372120671719424,300,0.04458314757021846,0
482993da-397a-4905-883d-3beb34d712e3,6709,60,13.574601281860188,6103,0.938923076923077,412,0.061410046206588166,249,0.0371143240423312,381,0.05678938739007303,0
b4c053ff-39a5-44f0-9f17-6950b7d8624b,6657,60,13.174102448550398,6056,0.9316923076923077,479,0.07195433378398679,276,0.04146011716989635,458,0.06879975965149467,0
0ff2ea82-427a-439c-8c08-85acd4b2fde1,6766,60,18.393881170558675,6327,0.9733846153846154,181,0.026751404079219627,171,0.025273425953295892,155,0.022908660951817914,0
17a79664-27d9-4400-bdbe-b8b5214a3f14,6718,60,17.840875260494194,6286,0.9670769230769231,223,0.03319440309615957,159,0.02366775826138732,157,0.023370050610300685,0
0b2c5442-c597-461e-9ce9-c78fc8d69a9c,6789,60,24.55427898070408,6440,0.9907692307692307,64,0.00942701428781853,71,0.010458093975548682,25,0.0036824274561791134,0
1628afdc-15d9-4d9d-bb8e-ba9dc02e61f2,4829,60,18.322634085732037,4526,0.6963076923076923,158,0.03271898943880721,105,0.021743632221992132,155,0.032097742803893145,0
2f2e322f-e0f8-4507-892e-5dd97f98df29,6777,60,22.315036151689537,6393,0.9835384615384616,111,0.01637892872952634,106,0.015641139147115242,76,0.011214401652648665,0
2452b0c6-64c3-4ce0-afee-2e44572a54b4,6808,60,21.93816098707403,6408,0.9858461538461538,94,0.013807285546415981,120,0.01762632197414806,91,0.01336662749706228,0
708ae5d2-d2ff-41e1-a8e2-1b594288d890,6693,60,16.048857014791572,6201,0.954,323,0.04825937546690572,251,0.03750186762288959,359,0.05363812938891379,0
9e4ca39e-835e-42c0-b4cb-cf404cf32df0,6779,60,24.326301814426905,6417,0.9872307692307692,83,0.012243693760141615,80,0.011801150612184688,50,0.00737571913261543,0
ae247b71-8567-412f-a368-202ebb8dbe0b,6746,60,19.25837533353098,6340,0.9753846153846154,167,0.024755410613697005,149,0.022087162763118885,121,0.017936554995552922,0
cc54ac00-5bea-41ca-96c2-dae527a64fd8,6760,60,24.07455621301775,6404,0.9852307692307692,97,0.014349112426035503,75,0.011094674556213017,46,0.006804733727810651,0
bbc62b70-186a-4125-8be5-9cfe24283e38,6918,60,21.526163631107256,6335,0.9746153846153847,169,0.024429025729979764,137,0.01980341139057531,133,0.019225209598149755,0
f19e4fae-165b-4cdc-aa46-12ee9e8ed1cd,6734,60,20.302643302643304,6346,0.9763076923076923,166,0.02465102465102465,118,0.017523017523017523,110,0.016335016335016335,0
